YEAR,CITY,SPORT,ATHLETE,COUNTRY,GENDER,EVENT,MEDAL
1924,Chamonix,Skating,"BRUNET, Andree",FRA,Women,Pairs,Bronze
1928,St.Moritz,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Bronze
1924,Chamonix,Skating,"MUCKELT, Ethel",GBR,Women,Individual,Bronze
1928,St.Moritz,Skating,"BRUNNER, Melitta",AUT,Women,Pairs,Bronze
1932,Lake Placid,Skating,"VINSON, Maribel",USA,Women,Individual,Bronze
1948,St.Moritz,Skating,"MORROW, Suzanne",CAN,Women,Pairs,Bronze
1932,Lake Placid,Skating,"ROTTER, Emilia",HUN,Women,Pairs,Bronze
1956,Cortina d'Ampezzo,Skiing,"WHEELER, Lucile",CAN,Women,Downhill,Bronze
1936,Garmisch Partenkirchen,Skating,"HULTEN, Vivi-Anne",SWE,Women,Individual,Bronze
1936,Garmisch Partenkirchen,Skating,"ROTTER, Emilia",HUN,Women,Pairs,Bronze
1936,Garmisch Partenkirchen,Skiing,"SCHOU-NILSEN, Laila",NOR,Women,Alpine Combined,Bronze
1948,St.Moritz,Skating,"ALTWEGG, Jeannette",GBR,Women,Individual,Bronze
1960,Squaw Valley,Skating,"ASHWORTH, Jeanne",USA,Women,500M,Bronze
1960,Squaw Valley,Skating,"LUDINGTON, Nancy",USA,Women,Pairs,Bronze
1948,St.Moritz,Skiing,"HAMMERER, Resi",AUT,Women,Downhill,Bronze
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Alpine Combined,Bronze
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Slalom,Bronze
1960,Squaw Valley,Skating,"ROLES, Barbara",USA,Women,Individual,Bronze
1964,Innsbruck,Skating,"BURKA, Petra",CAN,Women,Individual,Bronze
1964,Innsbruck,Skating,"JOSEPH, Ronald",USA,Women,Pairs,Bronze
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Giant Slalom,Bronze
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Slalom,Bronze
1952,Oslo,Skating,"DU BIEF, Jacqueline",FRA,Women,Individual,Bronze
1964,Innsbruck,Skiing,"SAUBERT, Jean",USA,Women,Slalom,Bronze
1968,Grenoble,Skating,"HOLUM, Dianne",USA,Women,1000M,Bronze
1972,Sapporo,Skiing,"CORROCK, Susan",USA,Women,Downhill,Bronze
1952,Oslo,Skiing,"MINUZZO CHENAL, Giuliana",ITA,Women,Downhill,Bronze
1952,Oslo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze
1952,Oslo,Skiing,"RANTANEN, Siiri",FIN,Women,10KM,Bronze
1972,Sapporo,Skating,"HENNING, Anne",USA,Women,1000M,Bronze
1972,Sapporo,Skating,"LYNN, Janet",USA,Women,Individual,Bronze
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,10KM,Bronze
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skiing,"ERIKSSON, Anna Lisa",SWE,Women,3X5KM Relay,Bronze
1976,Innsbruck,Skiing,"NELSON, Cynthia",USA,Women,Downhill,Bronze
1956,Cortina d'Ampezzo,Skiing,"HOCHLEITNER, Dorothea",AUT,Women,Giant Slalom,Bronze
1956,Cortina d'Ampezzo,Skiing,"JOHANSSON, Irma",SWE,Women,3X5KM Relay,Bronze
1956,Cortina d'Ampezzo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze
1956,Cortina d'Ampezzo,Skiing,"SIDOROVA, Yevgeniya",URS,Women,Slalom,Bronze
1956,Cortina d'Ampezzo,Skating,"WENDL, Ingrid",AUT,Women,Individual,Bronze
1976,Innsbruck,Skating,"O'CONNOR, Colleen",USA,Women,Ice Dancing,Bronze
1976,Innsbruck,Skating,"YOUNG, Sheila",USA,Women,1000M,Bronze
1960,Squaw Valley,Skiing,"HECHER, Traudl",AUT,Women,Downhill,Bronze
1980,Lake Placid,Skating,"HEIDEN, Beth",USA,Women,3000M,Bronze
1988,Calgary,Skating,"BLAIR, Bonnie",USA,Women,1000M,Bronze
1960,Squaw Valley,Skiing,"HENNEBERGER, Barbi",EUA,Women,Slalom,Bronze
1960,Squaw Valley,Skating,"HUTTUNEN, Eevi",FIN,Women,3000M,Bronze
1988,Calgary,Skiing,"PERCY, Karen",CAN,Women,Downhill,Bronze
1960,Squaw Valley,Skiing,"MINUZZO CHENAL, Giuliana",ITA,Women,Giant Slalom,Bronze
1960,Squaw Valley,Skiing,"Pe_YSTI, Toini K.",FIN,Women,3X5KM Relay,Bronze
1960,Squaw Valley,Skating,"PILEJCZYK, Helena",POL,Women,1500M,Bronze
1988,Calgary,Skiing,"PERCY, Karen",CAN,Women,Super-G,Bronze
1988,Calgary,Skating,"THOMAS, Debra",USA,Women,Individual,Bronze
1960,Squaw Valley,Skiing,"RANTANEN, Siiri",FIN,Women,3X5KM Relay,Bronze
1988,Calgary,Skating,"WATSON, Jill",USA,Women,Pairs,Bronze
1960,Squaw Valley,Skiing,"RUOPPA, Eeva",FIN,Women,3X5KM Relay,Bronze
1960,Squaw Valley,Skating,"RYLOVA, Tamara",URS,Women,1000M,Bronze
1988,Calgary,Skating,"WILSON, Tracy",CAN,Women,Ice Dancing,Bronze
1992,Albertville,Biathlon,"BEDARD, Myriam",CAN,Women,15KM,Bronze
1960,Squaw Valley,Skiing,"YEROSHINA, Radya",URS,Women,10KM,Bronze
1992,Albertville,Skating,"BRASSEUR, Isabelle",CAN,Women,Pairs,Bronze
1964,Innsbruck,Skiing,"GUSAKOVA, Mariya",URS,Women,10KM,Bronze
1964,Innsbruck,Skiing,"HECHER, Traudl",AUT,Women,Downhill,Bronze
1992,Albertville,Skating,"KERRIGAN, Nancy",USA,Women,Individual,Bronze
1964,Innsbruck,Skiing,"KOLCHINA, Alevtina",URS,Women,5KM,Bronze
1964,Innsbruck,Skating,"KOLOKOLTSEVA, Berta",URS,Women,1500M,Bronze
1964,Innsbruck,Skiing,"LEHTONEN, Mirja",FIN,Women,3X5KM Relay,Bronze
1964,Innsbruck,Skating,"MUSTONEN, Kaija",FIN,Women,1000M,Bronze
1964,Innsbruck,Skiing,"Pe_YSTI, Toini K.",FIN,Women,3X5KM Relay,Bronze
1964,Innsbruck,Skiing,"PUSULA, Senja",FIN,Women,3X5KM Relay,Bronze
1994,Lillehammer,Skating,"BRASSEUR, Isabelle",CAN,Women,Pairs,Bronze
1994,Lillehammer,Skating,"CASHMAN, Karen",USA,Women,3000M Relay,Bronze
1964,Innsbruck,Skating,"SIDOROVA, Tatyana",URS,Women,500M,Bronze
1964,Innsbruck,Luge,"THURNER, Helene",AUT,Women,Singles,Bronze
1994,Lillehammer,Skating,"PETERSON, Amy",USA,Women,3000M Relay,Bronze
1968,Grenoble,Skiing,"ACHKINA, Rita",URS,Women,3X5KM Relay,Bronze
1968,Grenoble,Skiing,"AUFLES, Inger",NOR,Women,10KM,Bronze
1968,Grenoble,Skiing,"BOCHATAY, Fernande",SUI,Women,Giant Slalom,Bronze
1968,Grenoble,Luge,"DeeNHAUPT, Angelika",FRG,Women,Singles,Bronze
1968,Grenoble,Skiing,"FAMOSE, Annie",FRA,Women,Slalom,Bronze
1994,Lillehammer,Skating,"PETERSON, Amy",USA,Women,500M,Bronze
1994,Lillehammer,Skating,"SUNDSTROM, Shana",USA,Women,3000M Relay,Bronze
1968,Grenoble,Skating,"GLOCKSHUBER, Margot",FRG,Women,Pairs,Bronze
1994,Lillehammer,Skating,"TURNER, Cathy",USA,Women,3000M Relay,Bronze
1994,Lillehammer,Skating,"ZIEGELMEYER, Nikki",USA,Women,3000M Relay,Bronze
1968,Grenoble,Skiing,"HAAS, Christl",AUT,Women,Downhill,Bronze
1998,Nagano,Skating,"BOUDRIAS, Christine",CAN,Women,3000M Relay,Bronze
1998,Nagano,Skating,"CHAREST, Isabelle",CAN,Women,3000M Relay,Bronze
1968,Grenoble,Skating,"KAISER, Christina",NED,Women,1500M,Bronze
1968,Grenoble,Skating,"KAISER, Christina",NED,Women,3000M,Bronze
1968,Grenoble,Skiing,"KOLCHINA, Alevtina",URS,Women,3X5KM Relay,Bronze
1968,Grenoble,Skiing,"KOLCHINA, Alevtina",URS,Women,5KM,Bronze
1968,Grenoble,Skiing,"KULAKOVA, Galina",URS,Women,3X5KM Relay,Bronze
1968,Grenoble,Skating,"MASKOVA, Hana",TCH,Women,Individual,Bronze
1998,Nagano,Skiing,"DUNN-DOWNING, Shannon",USA,Women,Half-Pipe,Bronze
1972,Sapporo,Skiing,"AUFLES, Inger",NOR,Women,3X5KM Relay,Bronze
1998,Nagano,Skating,"LEMAY DOAN, Catriona",CAN,Women,1000M,Bronze
1998,Nagano,Skating,"PERREAULT, Annie",CAN,Women,3000M Relay,Bronze
1972,Sapporo,Skiing,"DAHL, Aslaug",NOR,Women,3X5KM Relay,Bronze
