YEAR,CITY,SPORT,ATHLETE,COUNTRY,GENDER,EVENT,MEDAL
1924,Chamonix,Skating,"JAKOBSSON, Ludowika",FIN,Women,Pairs,Silver
1928,St.Moritz,Skating,"BURGER, Fritzi",AUT,Women,Individual,Silver
1928,St.Moritz,Skating,"SCHOLZ, Lilly",AUT,Women,Pairs,Silver
1932,Lake Placid,Skating,"BURGER, Fritzi",AUT,Women,Individual,Silver
1936,Garmisch Partenkirchen,Skating,"COLLEDGE, Cecilia",GBR,Women,Individual,Silver
1936,Garmisch Partenkirchen,Skiing,"GRASEGGER, Ke_the",GER,Women,Alpine Combined,Silver
1936,Garmisch Partenkirchen,Skating,"PAUSIN, Ilse",AUT,Women,Pairs,Silver
1948,St.Moritz,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Downhill,Silver
1948,St.Moritz,Skating,"KEKESSY, Andrea",HUN,Women,Pairs,Silver
1948,St.Moritz,Skiing,"MEYER, Antoinette",SUI,Women,Slalom,Silver
1948,St.Moritz,Skating,"PAWLIK, Eva",AUT,Women,Individual,Silver
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Downhill,Silver
1952,Oslo,Skiing,"HIETAMIES, Mirja",FIN,Women,10KM,Silver
1952,Oslo,Skiing,"REICHERT, Ossi",FRG,Women,Slalom,Silver
1952,Oslo,Skiing,"ROM, Dagmar",AUT,Women,Giant Slalom,Silver
1956,Cortina d'Ampezzo,Skiing,"BARANOVA, Lyubov",URS,Women,3X5KM Relay,Silver
1956,Cortina d'Ampezzo,Skiing,"DeNZER, Frieda",SUI,Women,Downhill,Silver
1956,Cortina d'Ampezzo,Skiing,"FRANDL, Josefine",AUT,Women,Giant Slalom,Silver
1956,Cortina d'Ampezzo,Skiing,"KOLCHINA, Alevtina",URS,Women,3X5KM Relay,Silver
1956,Cortina d'Ampezzo,Skiing,"SCHe_PF, Regina",AUT,Women,Slalom,Silver
1956,Cortina d'Ampezzo,Skiing,"YEROSHINA, Radya",URS,Women,10KM,Silver
1956,Cortina d'Ampezzo,Skiing,"YEROSHINA, Radya",URS,Women,3X5KM Relay,Silver
1960,Squaw Valley,Skiing,"BARANOVA, Lyubov",URS,Women,10KM,Silver
1960,Squaw Valley,Skiing,"BARANOVA, Lyubov",URS,Women,3X5KM Relay,Silver
1960,Squaw Valley,Skating,"DIJKSTRA, Sjoukje",NED,Women,Individual,Silver
1960,Squaw Valley,Skating,"DONCHENKO, Natalya",URS,Women,500M,Silver
1960,Squaw Valley,Skiing,"GUSAKOVA, Mariya",URS,Women,3X5KM Relay,Silver
1960,Squaw Valley,Skating,"HAASE, Helga",EUA,Women,1000M,Silver
1960,Squaw Valley,Skating,"KILIUS, Marika",EUA,Women,Pairs,Silver
1960,Squaw Valley,Skating,"SEROCZYNSKA, Elwira",POL,Women,1500M,Silver
1960,Squaw Valley,Skating,"STENINA, Valentina",URS,Women,3000M,Silver
1960,Squaw Valley,Skiing,"YEROSHINA, Radya",URS,Women,3X5KM Relay,Silver
1964,Innsbruck,Luge,"GEISLER, Ilse",EUA,Women,Singles,Silver
1964,Innsbruck,Skiing,"GOITSCHEL, Christine",FRA,Women,Giant Slalom,Silver
1964,Innsbruck,Skiing,"GOITSCHEL, Marielle",FRA,Women,Slalom,Silver
1964,Innsbruck,Skiing,"GUSTAFSSON, Toini",SWE,Women,3X5KM Relay,Silver
1964,Innsbruck,Skating,"HAN, Pil Hwa",PRK,Women,3000M,Silver
1964,Innsbruck,Skating,"HEITZER, Regine",AUT,Women,Individual,Silver
1964,Innsbruck,Skating,"KILIUS, Marika",EUA,Women,Pairs,Silver
1964,Innsbruck,Skiing,"LEHTONEN, Mirja",FIN,Women,5KM,Silver
1964,Innsbruck,Skiing,"MARTINSSON, Barbro",SWE,Women,3X5KM Relay,Silver
1964,Innsbruck,Skiing,"MEKSHILO, Yevdoyka",URS,Women,10KM,Silver
1964,Innsbruck,Skating,"MUSTONEN, Kaija",FIN,Women,1500M,Silver
1964,Innsbruck,Skating,"STENINA, Valentina",URS,Women,3000M,Silver
1964,Innsbruck,Skiing,"STRANDBERG, Britt",SWE,Women,3X5KM Relay,Silver
1964,Innsbruck,Skating,"YEGOROVA, Irina",URS,Women,1000M,Silver
1964,Innsbruck,Skating,"YEGOROVA, Irina",URS,Women,500M,Silver
1964,Innsbruck,Skiing,"ZIMMERMANN, Edith",AUT,Women,Downhill,Silver
1968,Grenoble,Skiing,"FAMOSE, Annie",FRA,Women,Giant Slalom,Silver
1968,Grenoble,Skating,"GEIJSSEN, Carolina",NED,Women,1500M,Silver
1968,Grenoble,Skiing,"GUSTAFSSON, Toini",SWE,Women,3X5KM Relay,Silver
1968,Grenoble,Skiing,"KULAKOVA, Galina",URS,Women,5KM,Silver
1968,Grenoble,Skiing,"MARTINSSON, Barbro",SWE,Women,3X5KM Relay,Silver
1968,Grenoble,Skiing,"Me_RDRE, Berit",NOR,Women,10KM,Silver
1968,Grenoble,Skiing,"MIR, Isabelle",FRA,Women,Downhill,Silver
1968,Grenoble,Skating,"MUSTONEN, Kaija",FIN,Women,3000M,Silver
1968,Grenoble,Luge,"SCHMUCK, Christa",FRG,Women,Singles,Silver
1968,Grenoble,Skating,"SEYFERT, Gabriele",GDR,Women,Individual,Silver
